year,aoc_id,kitt_uid
2021,1516738,6495
2021,1516822,10490
2021,1516885,10306
2021,1517070,6923
2021,1517898,12379
2021,1518146,10975
2021,1518446,4561
2021,1518607,12205
2021,1518672,11521
2021,1519038,11402
2021,1519220,13545
2021,1519682,4977
2021,1519838,9154
2021,1519850,10113
2021,1519958,10757
2021,1520479,12338
2021,1521355,424
2021,1522267,4250
2021,1522581,12592
2021,1523279,4773
2021,1523364,4562
2021,1523508,10163
2021,1523721,13884
2021,1523872,11208
2021,1523878,12628
2021,1523879,12181
2021,1523885,10782
2021,1523911,11361
2021,1523918,4302
2021,1524038,9846
2021,1524058,5285
2021,1524075,10926
2021,1524176,11223
2021,1524238,13399
2021,1524558,13163
2021,1524980,11127
2021,1525159,12973
2021,1525616,11757
2021,1526992,13625
2021,1529129,10436
2021,1529364,10227
2021,1531650,13466
2021,1531974,6841
2021,1532338,12980
2021,1532630,11200
2021,1533596,11408
2021,1535321,13740
2021,1537511,733
2021,1538551,13742
2021,1539095,12059
2021,1542780,12986
2021,1542845,5547
2021,1544129,7655
2021,1546669,2926
2021,1549883,7188
2021,1550409,6836
2021,1551227,8464
2021,1551659,4356
2021,1553142,6145
2021,1555401,6752
2021,1555438,13472
2021,1556699,10679
2021,1556712,13874
2021,1560678,12837
2021,1560907,8278
2021,1560959,8563
2021,1561163,8152
2021,1561524,4844
2021,1564386,8155
2021,1565103,5026
2021,1567597,1665
2021,1568572,6263
2021,1571870,10080
2021,1578105,11764
2021,1584002,6944
2021,1585741,13221
2021,1587707,14030
2021,1589517,1071
2021,1590463,13499
2021,1590600,13627
2021,1591148,13519
2021,1592222,9323
2021,1592331,12232
2021,1594238,14069
2021,1594296,14052
2021,1596574,12401
2021,1596678,11765
2021,1599360,12900
2021,1600168,12881
2021,1600766,14039
2021,1603228,702
2021,1604593,3466
2021,1604656,12915
2021,1606475,6785
2021,1609039,12330
2021,1611133,3306
2021,1613992,7134
2021,1615463,7959
2021,1617759,9692
2021,1620171,9606
2021,1621204,10612
2021,1621513,8311
2021,1623482,9578
2021,1624501,12475
2021,1625402,3124
2021,1631357,12123
2021,1631926,14047
2021,1632331,14050
2021,1634470,14067
2021,1635882,6161
2021,1636040,13299
2021,1640858,11213
2021,1642571,12344
2021,1648274,12289
2021,1649282,8005
2021,1650743,10787
2021,1655721,8959
2021,1656706,7027
2021,1661415,9686
2021,1668312,13637
2021,1669999,9713
2021,1671215,7765
2021,1674319,13186
2021,1680939,10759
2021,1686096,6028
2021,1702775,5502
2021,1705822,6928
2021,1711520,8759
2021,1712157,919
2021,1716997,10446
2021,1721741,6857
2021,1726074,5730
2021,1734018,14066
2021,1734172,14042
2021,1734670,14034
2021,1736162,4971
2021,1738786,13721
2021,1739939,14046
2021,1740833,14049
2021,1741208,13230
2021,1741829,5106
2021,1749570,13308
2021,1750481,11766
2021,1758855,9018
2021,1764981,11722
2021,1764999,9031
2021,1765625,14061
2021,1769355,8409
2021,1771653,12530
2021,1776175,12838
2021,1811578,4262
2021,1827201,13531
2021,1831334,12271
2021,1833337,13220
2021,1847345,12942
2021,1851596,11985
2021,1851834,13720
2021,1855443,13735
2021,1855827,14058
2021,1873266,11453
2021,1874647,13219
2021,1876005,13596
2021,1878897,12135
2021,1883689,737
2021,1894425,6379
2021,1894725,13493
2021,1906965,13608
2021,1909210,10521
2021,1910415,13509
2021,1914553,7270
2021,1928371,12280
2021,1928724,8216
2021,1937717,4477
